condition,model,scene_label,truth,run,local_ms,local_risk,yolo_ms,clip_label,clip_conf,clip_risk,clip_correct,yolo_meta,risk_correct,detected_risk,quality_score,reply,latency_ms,input_tokens,output_tokens,cost_usd,error
no_clip,claude,object_table,caution,1,27.86,safe,156.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The scene shows an indoor environment with a laptop on a table displaying code/IDE, with shelving units visible in the background at moderate distance; the room appears dimly lit with low ambient brightness.
Sensor note: YOLO-World detected a shelf at 2.53m which is consistent with the background shelving visible in the image; the laptop on the table is not detected but is clearly present as a table-level obstacle. Brightness reading of 126/255 is consistent with the moderately dim indoor lighting observed.
Proximity: The laptop/table surface appears to be the closest obstacle, visually estimated at approximately 1.5–2m forward; the shelving in the background aligns with the 2.53m depth reading from DA v2.
Risk: caution
Pilot suggested action: HOVER",6756.6,956,181,0.005583,
no_clip,gpt4o,object_table,caution,1,27.86,safe,156.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,safe,4,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears to be clear at the ~1m flight path level.
Sensor note: Consistent with YOLO detection of a shelf at 2.53m depth.
Proximity: Closest object is the laptop on the table, approximately 1m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",3580.5,772,88,0.00518,
no_clip,gpt4o_mini,object_table,caution,1,27.86,safe,156.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are various items that could potentially obstruct the flight path. 

Sensor note: Consistent with YOLO detection of a shelf at 2.53m, but the clutter at table level is not accounted for by the sensors.

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away.

Risk: Caution

Pilot suggested action: HOVER",9224.9,3539,110,0.000597,
no_clip,gemini,object_table,caution,1,27.86,safe,156.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",1837.1,1008,110,0.000109,
with_clip,claude,object_table,caution,2,39.72,safe,265.7,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop computer open on a desk/table displaying what appears to be a code editor or IDE, situated in what looks like a cluttered indoor room with shelving units visible in the background at moderate distance.

Sensor note: YOLO detected a shelf at 2.53m which is consistent with the background shelving visible in the image. The CLIP label ""cluttered room obstacles"" is reasonably consistent with the scene. No persons detected by sensors, and visual analysis confirms no persons visible.

Proximity: The closest significant object is the desk/table surface and laptop at approximately 1.0–1.5m forward distance; the shelving in the background appears at ~2–3m. The table-level clutter does not appear to directly block a ~1m altitude flight corridor, but the confined space warrants caution.

Risk: caution

Pilot suggested action: HOVER",7320.5,1017,198,0.006021,
with_clip,gpt4o,object_table,caution,2,39.72,safe,265.7,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room, with shelves and other objects in the background.
Sensor note: Consistent with sensor data indicating a cluttered room and a shelf detected at 2.53m.
Proximity: The laptop is the closest object, approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",3376.6,827,77,0.00529,
with_clip,gpt4o_mini,object_table,caution,2,39.72,safe,265.7,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room with various objects in the background. The scene appears to have some obstacles, but the flight path is not directly blocked. 

Sensor note: Consistent with YOLO detection of a shelf, but the cluttered nature of the room suggests potential obstacles not detected by the sensors.

Proximity: The closest object appears to be the laptop, which is approximately 0.5m away.

Risk: caution

Pilot suggested action: HOVER",8908.8,3594,103,0.000601,
with_clip,gemini,object_table,caution,2,39.72,safe,265.7,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is directly in the flight path. The background shows what appears to be shelves or windows.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector reported no brightness issues, which is consistent. CLIP's ""cluttered room obstacles"" is partially consistent with the laptop.
Proximity: The laptop is very close, visually estimated to be less than 0.5m.
Risk: hazard
Pilot suggested action: HOVER",1949.6,1062,124,0.000117,
no_clip,claude,object_table,caution,2,39.72,safe,158.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,4,"Description: The image shows an indoor environment with a laptop on a table displaying code/development software, with shelving units visible in the background. The scene appears dimly lit with moderate clutter on surfaces, but the flight path at approximately 1m altitude appears relatively open.

Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the laptop on the table is visible but undetected by sensors — it exists as a real obstacle at table height (~0.8m), below the 1m flight corridor. Background shelving is consistent with the detection.

Proximity: The laptop/table surface is the closest significant object, visually estimated at approximately 1.5–2m forward distance; the table is below the 1m flight corridor so not a direct path obstruction. Shelving units appear at ~2.5m, consistent with depth_m=2.53m reading.

Risk: caution

Pilot suggested action: HOVER

**Reasoning:** The scene is dimly lit (brightness=126/255, consistent with visual), which reduces perception reliability. While the 1m altitude path appears open, the cluttered indoor environment with shelving and furniture warrants caution before proceeding. Recommend hovering to reassess before any forward movement.",9420.6,956,284,0.007128,
no_clip,gpt4o,object_table,caution,2,39.72,safe,158.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in an indoor environment, with shelves and other objects in the background. The scene appears well-lit and organized, with no immediate obstacles blocking the flight path at ~1m altitude.

Sensor note: Consistent with sensor data; the detected shelf is visible in the background.

Proximity: The closest object is the laptop on the table, approximately 1m away.

Risk: Caution

Pilot suggested action: HOVER",3479.5,772,95,0.005285,
no_clip,gpt4o_mini,object_table,caution,2,39.72,safe,158.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are various items that could potentially obstruct a flight path if the drone were to navigate close to the table. 

Sensor note: Consistent; YOLO detected a shelf at a distance of 2.53m, which aligns with the visual clutter present in the image.

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away from the drone's expected flight path.

Risk: Caution

Pilot suggested action: HOVER",11480.0,3539,126,0.000606,
no_clip,gemini,object_table,caution,2,39.72,safe,158.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",2355.3,1008,110,0.000109,
with_clip,claude,object_table,caution,3,38.99,safe,266.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,3,"Description: The image shows an indoor environment with a laptop open on a table displaying code/IDE, surrounded by shelving units and what appears to be a cluttered room with various objects; the scene is dimly lit with moderate visibility.
Sensor note: YOLO detected a shelf at 2.53m which is consistent with the visible shelving in the background; CLIP's ""cluttered room obstacles"" label is consistent with the visual scene. The low confidence scores (YOLO-W 0.19, CLIP 0.21) reflect the image complexity and low resolution.
Proximity: Closest obstacle appears to be the table/laptop assembly, visually estimated at approximately 1.0–1.5m; shelving units visible at ~2–3m in the background. No persons detected visually or by sensors.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The scene is dimly lit (brightness 126/255 is moderate but the image appears darker in practice), and the cluttered environment with table-level obstacles, shelving, and confined space warrants a cautious hold. No immediate hazard blocks the ~1m flight corridor, but the density of objects and limited visibility prevent a confident ""safe"" clearance. Hovering allows reassessment before committing to any directional movement.",9250.3,1017,291,0.007416,
with_clip,gpt4o,object_table,caution,3,38.99,safe,266.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room, with shelves and other objects in the background.
Sensor note: Consistent with sensor data indicating a cluttered room and a shelf detected at 2.53m.
Proximity: The closest object is the laptop, approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",3273.9,827,77,0.00529,
with_clip,gpt4o_mini,object_table,caution,3,38.99,safe,266.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room with various objects in the background. The scene appears to have some obstacles, but the flight path is not directly blocked. 

Sensor note: Consistent; YOLO detected a shelf, and the scene is labeled as cluttered, which aligns with the visual analysis. 

Proximity: The closest object appears to be the laptop, which is approximately 0.5m away. 

Risk: caution  
Pilot suggested action: HOVER",9523.3,3594,103,0.000601,
with_clip,gemini,object_table,caution,3,38.99,safe,266.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is directly in the flight path. The background shows what appears to be shelves or windows.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector reported no brightness issues, which is consistent. CLIP's ""cluttered room obstacles"" is partially consistent with the laptop.
Proximity: The laptop is very close, visually estimated to be less than 0.5m.
Risk: hazard
Pilot suggested action: HOVER",2259.9,1062,124,0.000117,
no_clip,claude,object_table,caution,3,38.99,safe,161.3,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The image shows an indoor environment with a laptop displaying code/IDE on a desk, with shelving units visible in the background; the scene is moderately lit but somewhat dim, with no persons visible. The flight path at approximately 1m altitude appears partially obstructed by the desk and laptop setup in the foreground.

Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the laptop and desk in the foreground are not detected by sensors but are clearly visible and pose a more immediate obstacle than the shelf.

Proximity: The desk/laptop appears to be the closest obstacle, visually estimated at roughly 1–1.5m, consistent with being within or near the hazard threshold; the shelf background is consistent with ~2.5m depth reading.

Risk: caution

Pilot suggested action: HOVER",6550.3,956,191,0.005733,
no_clip,gpt4o,object_table,caution,3,38.99,safe,161.3,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a room with shelves and other objects in the background. The scene appears well-lit and there is no immediate obstruction in the flight path at ~1m altitude.
Sensor note: Consistent with sensor data; the shelf detection aligns with the visual scene.
Proximity: Closest object is the laptop on the table, approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",4194.1,772,92,0.00524,
no_clip,gpt4o_mini,object_table,caution,3,38.99,safe,161.3,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are various items that could potentially obstruct a flight path if the drone were to navigate close to the table. 

Sensor note: Consistent with YOLO detection of a shelf, but no other objects detected. 

Proximity: The closest object appears to be the laptop, which is approximately 0.5m away based on visual estimation. 

Risk: Caution 
Pilot suggested action: HOVER",10751.3,3539,111,0.000597,
no_clip,gemini,object_table,caution,3,38.99,safe,161.3,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",1949.7,1008,110,0.000109,
with_clip,claude,object_table,caution,4,32.55,safe,260.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,3,"Description: The image shows a laptop computer open on a desk/table displaying code or a development environment, set in what appears to be a cluttered indoor room with shelving units and various objects visible in the background at moderate distance.
Sensor note: YOLO detected a shelf at 2.53m which is consistent with the background shelving visible in the image; CLIP's ""cluttered room obstacles"" label is broadly consistent. The laptop on the table is not detected by YOLO but is clearly visible — it poses no flight-path hazard at ~1m altitude as it sits on a surface below that corridor.
Proximity: The closest object is the desk/table surface with the laptop, estimated at approximately 1.5–2m forward; background shelving aligns with the reported 2.53m depth. No persons or objects appear to be directly intercepting a ~1m altitude flight path.
Risk: caution
Pilot suggested action: HOVER

*Rationale: The scene is moderately cluttered with furniture and shelving in the background. While no object appears to directly block the 1m altitude corridor immediately ahead, the cluttered environment and relatively low scene brightness (126/255) warrant a cautious hover to allow fuller situational assessment before committing to forward movement.*",8452.4,1017,279,0.007236,
with_clip,gpt4o,object_table,caution,4,32.55,safe,260.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room, with shelves and other objects in the background.
Sensor note: Consistent with sensor data indicating a cluttered room and a shelf detected at 2.53m.
Proximity: The closest object is the laptop, approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",3513.0,827,77,0.00529,
with_clip,gpt4o_mini,object_table,caution,4,32.55,safe,260.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room with various objects in the background. The scene appears to have some obstacles, but the flight path at approximately 1m altitude seems mostly clear. 

Sensor note: Consistent; the YOLO detection of a shelf aligns with the visible clutter in the image, and the scene label indicates a cluttered room.

Proximity: The closest object appears to be the laptop, which is approximately 0.5m away.

Risk: caution

Pilot suggested action: HOVER",12356.4,3594,110,0.000605,
with_clip,gemini,object_table,caution,4,32.55,safe,260.4,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is directly in the flight path. The background shows what appears to be shelves or windows.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector reported no brightness issues, which is consistent. CLIP's ""cluttered room obstacles"" is partially consistent with the laptop.
Proximity: The laptop is very close, visually estimated to be less than 0.5m.
Risk: hazard
Pilot suggested action: HOVER",2155.5,1062,124,0.000117,
no_clip,claude,object_table,caution,4,32.55,safe,159.6,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,4,"Description: The scene shows an indoor environment with a laptop on a desk/table displaying code, with shelving units visible in the background; the room appears moderately lit but somewhat dim due to low ambient lighting conditions.
Sensor note: YOLO-World detected a shelf at 2.53m which is consistent with the shelving visible in the background; the laptop and desk are undetected by sensors but clearly visible in the image as foreground obstacles.
Proximity: The desk/table surface with the laptop appears to be approximately 1–1.5m ahead, representing the closest obstacle; this is within the critical flight corridor at ~1m altitude.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The drone is at ~1m altitude indoors. The desk and laptop directly ahead are undetected by YOLO but clearly visible and within the flight path. The dim lighting (brightness 126/255) adds caution. No persons are visible in close proximity. Hovering is appropriate to reassess before any forward movement, as pitching forward risks collision with the desk/laptop setup.",8188.5,956,242,0.006498,
no_clip,gpt4o,object_table,caution,4,32.55,safe,159.6,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,safe,4,"Description: The image shows a laptop on a table in a room with shelves and other objects in the background. The area appears clear at the ~1m flight path level.
Sensor note: Consistent with YOLO detection of a shelf at 2.53m depth.
Proximity: Closest object is the laptop on the table, approximately 1m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",3171.8,772,86,0.00515,
no_clip,gpt4o_mini,object_table,caution,4,32.55,safe,159.6,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are various items that could potentially obstruct a flight path. 

Sensor note: Consistent with YOLO detection of a shelf at 2.53m, but no other objects detected. 

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away. 

Risk: Caution 
Pilot suggested action: HOVER",11366.8,3539,104,0.000593,
no_clip,gemini,object_table,caution,4,32.55,safe,159.6,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",2154.1,1008,110,0.000109,
with_clip,claude,object_table,caution,5,31.66,safe,262.8,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The image shows an indoor environment with a laptop open on a table displaying code/IDE, with shelving units and various objects visible in the background; the scene is moderately lit but somewhat dim, with clutter at table and shelf level surrounding the flight path.

Sensor note: YOLO detected only a shelf at ~2.53m which is consistent with the background shelving visible; however, the laptop on the table directly ahead is a significant undetected obstacle not flagged by YOLO — this is a miss. CLIP's ""cluttered room obstacles"" label is broadly consistent with the scene.

Proximity: The laptop and table surface appear to be the closest obstacle, visually estimated at approximately 1–1.5m ahead at roughly the 1m flight altitude level, which poses a direct path obstruction; the shelf detection at 2.53m is plausible for the background units.

Risk: hazard

Pilot suggested action: PITCH_BACK",7424.3,1017,213,0.006246,
with_clip,gpt4o,object_table,caution,5,31.66,safe,262.8,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room, with shelves and other objects in the background.
Sensor note: Consistent with sensor data indicating a cluttered room and a shelf detected at 2.53m.
Proximity: The closest object is the laptop, approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",3277.0,827,77,0.00529,
with_clip,gpt4o_mini,object_table,caution,5,31.66,safe,262.8,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a cluttered room with various objects in the background. The scene appears to have some obstacles, but the flight path is not directly blocked. 

Sensor note: Consistent; YOLO detected a shelf, and the scene is labeled as cluttered, which aligns with the visual analysis. 

Proximity: The closest object appears to be the laptop, which is approximately 0.5m away. 

Risk: caution  
Pilot suggested action: HOVER",9419.2,3594,103,0.000601,
with_clip,gemini,object_table,caution,5,31.66,safe,262.8,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",0,hazard,4,"Description: The drone is facing a laptop on a table, which is directly in the flight path. The background shows what appears to be shelves or windows.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector reported no brightness issues, which is consistent. CLIP's ""cluttered room obstacles"" is partially consistent with the laptop.
Proximity: The laptop is very close, visually estimated to be less than 0.5m.
Risk: hazard
Pilot suggested action: HOVER",1948.4,1062,124,0.000117,
no_clip,claude,object_table,caution,5,31.66,safe,160.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows an indoor environment with a laptop open on a desk displaying code/development tools, with shelving units visible in the background. The space appears to be a cluttered room or office with various objects around ~2-3m depth.

Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the image confirms shelving/furniture in the background. The laptop and desk are prominent but undetected by YOLO — these are real obstacles at table level. Brightness at 126/255 is moderate, consistent with the somewhat dim but navigable scene.

Proximity: The desk and laptop appear to be approximately 1.5–2m ahead, occupying the mid-field. No persons visible. The desk surface is at roughly table height (~0.75m), below the ~1m flight corridor, but the laptop screen extends upward and could encroach on the flight path.

Risk: caution

Pilot suggested action: HOVER",7781.5,956,221,0.006183,
no_clip,gpt4o,object_table,caution,5,31.66,safe,160.9,cluttered room obstacles,0.2068,caution,1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): brightness=126/255 (none)",1,caution,5,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears cluttered but not directly obstructing the flight path at ~1m altitude.

Sensor note: Consistent with YOLO detection of a shelf at 2.53m depth.

Proximity: Closest object is the laptop on the table, estimated at ~1m away.

Risk: Caution

Pilot suggested action: HOVER",3287.2,772,93,0.005255,
