model,scene_label,truth,run,load_ms,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
gemini,object_table,caution,5,0.26,131.89,2361.5,2493.7,0,yolo-world,cluttered room obstacles,caution,0.2068,hazard,0,4,927,98,9.9e-05,"Description: The image shows a laptop on a table, with a cluttered background of what appears to be shelves or furniture. The CLIP label ""cluttered room obstacles"" is consistent with the visual scene. The drone's flight path at ~1m altitude appears to be blocked by the laptop and table.
Proximity: The laptop and table are directly in front of the drone, likely within 1-2m.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,dim_light,caution,1,0.48,148.44,7532.8,7681.7,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,900,217,0.005955,"Description: The image is heavily noisy and tinted green (likely night-vision or low-light camera), showing what appears to be a cluttered indoor room with furniture (couch/sofa on the left, a large bright object on the right that may be a chair or cushion) and walls/shelving in the background. The scene is dimly lit and visually cluttered, consistent with the CLIP label; the YOLO wall detection spanning nearly the full frame suggests obstacles fill the scene, though the est_dist of 0.3m appears to be an unreliable bounding-box artifact given the wide bbox.

Proximity: Visually, large furniture objects (sofa left, chair/cushion right) appear to be within 1–2m of the drone at approximately flight altitude (~1m), potentially encroaching on the flight corridor. The scene is too cluttered and noisy to confirm a clear path forward.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,dim_light,caution,1,0.48,148.44,2761.6,2910.5,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,768,66,0.00483,"Description: The image is dim and grainy, showing a cluttered room with various objects. The scene is not fully dark, but visibility is limited.
Proximity: Objects appear to be at a distance, not directly in the flight path at ~1m altitude.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,1,0.48,148.44,3277.1,3426.0,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,3535,111,0.000597,"Description: The image appears to show a cluttered indoor space with various objects, but it is dimly lit, making it difficult to assess the exact layout. The YOLO detection indicates a wall within ~0.3m, but the visual evidence suggests that the wall is further away, as the drone is at ~1m altitude and the path appears somewhat clear. 
Proximity: Approximately 2-3 meters to the nearest wall, with clutter visible but not directly in the flight path.
Risk: caution
Pilot suggested action: HOVER",
gemini,dim_light,caution,1,0.48,148.44,7593.3,7742.2,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,hazard,0,4,973,130,0.000112,"Description: The image is very dark and grainy, making it difficult to discern details. There appears to be a large, light-colored object on the right, possibly a wall or a large plant, and other indistinct shapes in the background. YOLO detects a ""wall"" very close, which is consistent with the large object on the right. CLIP suggests a ""cluttered room obstacles"" which aligns with the general lack of clarity and potential objects.
Proximity: Very close, likely within 0.5m, based on the large object dominating the right side of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,dim_light,caution,2,0.48,146.5,10205.2,10352.2,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,900,184,0.00546,"Description: The image is heavily noise-corrupted with a green/teal color cast (likely a low-light night-vision or sensor issue), showing what appears to be a cluttered indoor room with furniture (couch/chair on the right, shelving/objects in the background). The scene is very dim and visually difficult to interpret clearly; YOLO's wall detection at 0.3m is likely a heuristic error as the image shows a room with depth rather than an immediate wall.

Proximity: Visually, the furniture (couch/chair on the right) appears to be within 1-2m, and the overall scene is cluttered with objects at various distances. The flight path at ~1m altitude is unclear due to poor image quality and potential obstacles nearby.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,dim_light,caution,2,0.48,146.5,3127.6,3274.6,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,768,69,0.004875,"Description: The image is dim and grainy, showing a cluttered room with various objects. The scene is not fully dark, but visibility is limited.
Proximity: Objects appear to be at a distance, with no immediate obstacles directly in the flight path at ~1m altitude.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,2,0.48,146.5,3299.5,3446.5,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,3535,106,0.000594,"Description: The image appears to show a cluttered indoor space with various objects, but it is dimly lit, making it difficult to assess the exact layout. The YOLO detection indicates a wall within the flight path, but the visual evidence suggests that the wall is not directly blocking the drone's path at ~1m altitude. 
Proximity: The wall appears to be at least 0.3m away, but the overall clutter suggests potential obstacles at floor level.
Risk: caution
Pilot suggested action: HOVER",
gemini,dim_light,caution,2,0.48,146.5,2361.0,2508.0,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,hazard,0,4,973,130,0.000112,"Description: The image is very dark and grainy, making it difficult to discern details. There appears to be a large, light-colored object on the right, possibly a wall or a large plant, and other indistinct shapes in the background. YOLO detects a ""wall"" very close, which is consistent with the large object on the right. CLIP suggests a ""cluttered room obstacles"" which aligns with the general lack of clarity and potential objects.
Proximity: Very close, likely within 0.5m, based on the large object dominating the right side of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,dim_light,caution,3,0.54,145.89,7327.0,7473.4,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,900,188,0.00552,"Description: The image is heavily noisy and green-tinted (likely night-vision or low-light camera), showing what appears to be a cluttered indoor room with a sofa/couch on the left, a large cushion or chair on the right foreground, and various objects/furniture in the background. The YOLO wall detection spanning nearly the full frame with an implausible 0.3m distance estimate is clearly a heuristic error — the wall is visually in the background, not 0.3m away.

Proximity: The cushion/chair on the right appears to be within 1-2m and potentially encroaching on the flight corridor at drone altitude (~1m). The overall scene is cluttered with furniture at various heights. Visibility is severely degraded by noise.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,dim_light,caution,3,0.54,145.89,2966.4,3112.8,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,768,66,0.00483,"Description: The image is dim and grainy, showing a cluttered room with various objects. The scene is not fully dark, but visibility is limited.
Proximity: Objects appear to be at a distance, not directly in the flight path at ~1m altitude.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,3,0.54,145.89,3993.6,4140.0,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,3535,106,0.000594,"Description: The image appears to show a cluttered indoor space with various objects, but it is dimly lit, making it difficult to assess the exact layout. The YOLO detection indicates a wall nearby, but the estimated distance seems inconsistent with the visual evidence, as the wall appears to be further away than 0.3m. 

Proximity: The wall and other objects seem to be more than 1m away, but the overall clutter suggests caution is warranted.

Risk: caution  
Pilot suggested action: HOVER",
gemini,dim_light,caution,3,0.54,145.89,4008.2,4154.6,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,hazard,0,4,973,130,0.000112,"Description: The image is very dark and grainy, making it difficult to discern details. There appears to be a large, light-colored object on the right, possibly a wall or a large plant, and other indistinct shapes in the background. YOLO detects a ""wall"" very close, which is consistent with the large object on the right. CLIP suggests a ""cluttered room obstacles"" which aligns with the general lack of clarity and potential objects.
Proximity: Very close, likely within 0.5m, based on the large object dominating the right side of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,dim_light,caution,4,0.57,153.77,7003.9,7158.2,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,900,178,0.00537,"Description: The image is extremely noisy and dark with a heavy green tint, showing what appears to be a cluttered indoor room with a large sofa/couch on the left and what looks like a chair or cushioned object on the right at approximately drone flight altitude; visibility is severely compromised by image noise/interference. The YOLO wall detection at 0.3m is likely a heuristic error as the room appears to extend further, but the poor image quality makes it impossible to confidently assess the flight corridor.

Proximity: Visually, furniture appears to be within 1-2m range on both sides, with the right-side object potentially encroaching on the ~1m flight corridor; the extreme noise makes precise estimation unreliable.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,dim_light,caution,4,0.57,153.77,2967.3,3121.6,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,768,69,0.004875,"Description: The image is dim and grainy, showing a cluttered room with various objects. The scene is not fully dark, but visibility is limited.
Proximity: Objects appear to be at a distance, with no immediate obstacles directly in the flight path at ~1m altitude.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,4,0.57,153.77,3071.4,3225.7,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,3535,94,0.000587,"Description: The image appears to show a cluttered indoor space with various objects, but it is dimly lit, making it difficult to assess the exact layout. The YOLO detection indicates a wall nearby, but the estimated distance seems inconsistent with the visual evidence, as the wall appears to be further away than 0.3m. 
Proximity: Approximately 2-3 meters from the nearest visible obstacles.
Risk: caution
Pilot suggested action: HOVER",
gemini,dim_light,caution,4,0.57,153.77,2460.9,2615.2,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,hazard,0,4,973,130,0.000112,"Description: The image is very dark and grainy, making it difficult to discern details. There appears to be a large, light-colored object on the right, possibly a wall or a large plant, and other indistinct shapes in the background. YOLO detects a ""wall"" very close, which is consistent with the large object on the right. CLIP suggests a ""cluttered room obstacles"" which aligns with the general lack of clarity and potential objects.
Proximity: Very close, likely within 0.5m, based on the large object dominating the right side of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,dim_light,caution,5,0.46,148.65,7326.6,7475.7,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,900,191,0.005565,"Description: The image is heavily noisy and tinted green (likely night-vision or low-light camera), showing what appears to be a cluttered indoor room with furniture (couch/sofa on the left, a bright object on the right that may be a pillow or chair back), and various objects in the background. The YOLO wall detection spanning nearly the full frame at an advisory 0.3m is likely a heuristic artifact of the noisy image rather than a true wall at 0.3m, but the scene is clearly cluttered and visibility is very poor.

Proximity: Furniture appears to be within 1–2m based on the apparent size of the couch and objects; the flight corridor at ~1m altitude is not clearly open, with objects potentially intruding into the flight path.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,dim_light,caution,5,0.46,148.65,3274.5,3423.6,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,768,66,0.00483,"Description: The image is dim and grainy, showing a cluttered room with various objects. The scene is not fully dark, but visibility is limited.
Proximity: Objects appear to be at a distance, not directly in the flight path at ~1m altitude.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,5,0.46,148.65,3172.0,3321.1,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,caution,1,5,3535,106,0.000594,"Description: The image appears to show a cluttered indoor space with various objects, but it is dimly lit, making it difficult to assess the exact layout. The YOLO detection indicates a wall nearby, but the estimated distance seems inconsistent with the visual evidence, as the wall appears to be further away than 0.3m. 

Proximity: The wall and other objects seem to be more than 1m away, but the overall clutter suggests caution is warranted.

Risk: caution  
Pilot suggested action: HOVER",
gemini,dim_light,caution,5,0.46,148.65,2985.1,3134.2,1,yolo-world,uncertain (cluttered room obstacles),unknown,0.2027,hazard,0,4,973,130,0.000112,"Description: The image is very dark and grainy, making it difficult to discern details. There appears to be a large, light-colored object on the right, possibly a wall or a large plant, and other indistinct shapes in the background. YOLO detects a ""wall"" very close, which is consistent with the large object on the right. CLIP suggests a ""cluttered room obstacles"" which aligns with the general lack of clarity and potential objects.
Proximity: Very close, likely within 0.5m, based on the large object dominating the right side of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,cluttered,caution,1,0.49,162.32,6004.9,6167.7,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,862,152,0.004866,"Description: The image shows what appears to be an indoor industrial or warehouse-like space with a conveyor belt or ramp structure in the foreground at roughly drone altitude, along with boxes and equipment creating a cluttered environment. The flight path at ~1m altitude appears partially obstructed by the dark angled structure (likely a conveyor/ramp) visible prominently in the lower-center of the frame.

Proximity: The angled conveyor/ramp structure appears to be within 1-2m of the drone based on its size and clarity in the frame, potentially encroaching on the 1m flight corridor.

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,cluttered,caution,1,0.49,162.32,2832.2,2995.0,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,728,66,0.00463,"Description: The image shows a cluttered room with various objects on a table or shelf. There are no clear obstacles directly in the flight path at the drone's altitude of ~1m.
Proximity: Objects are at table height and not in the direct flight path.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,1,0.49,162.32,2866.6,3029.4,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,3495,96,0.000582,"Description: The image shows a cluttered indoor environment with various objects, including a stapler and a box, on a table. The CLIP label indicates a cluttered room, which aligns with the visual assessment, but there are no YOLO detections present. 
Proximity: The closest objects appear to be within 1-2 meters, but they are not directly in the flight path at 1 meter altitude.
Risk: caution
Pilot suggested action: HOVER",
gemini,cluttered,caution,1,0.49,162.32,7685.1,7847.9,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,927,113,0.000103,"Description: The image shows a cluttered scene with various objects on what appears to be a table or counter. A large white object is prominent on the left, and other items like a box, a stapler-like object, and a white container are visible. The CLIP label ""cluttered room obstacles"" is consistent with the visual evidence.
Proximity: The objects are very close, likely within 1 meter of the drone, and appear to be directly in the flight path at ~1m altitude.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,2,0.48,142.24,5386.2,5528.9,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,862,141,0.004701,"Description: The image shows an indoor industrial or warehouse-like space with a conveyor belt or ramp structure in the foreground, a white container/bin to the right, and cluttered shelving/equipment in the background. The scene is somewhat dim and the foreground structures appear to be at or near drone flight altitude (~1m), partially obstructing the direct path ahead.

Proximity: The conveyor/ramp structure appears to be within 1-2m of the drone based on its apparent size and position in frame, posing a potential obstruction at flight altitude.

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,cluttered,caution,2,0.48,142.24,3084.6,3227.3,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,728,62,0.00457,"Description: The image shows a cluttered room with various objects on a table or shelf. There are no clear obstacles directly in the flight path at ~1m altitude.
Proximity: Objects are at table height and not in the immediate flight path.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,2,0.48,142.24,3260.3,3403.0,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,3495,98,0.000583,"Description: The image shows a cluttered indoor environment with various objects, including a stapler and a box, on a table. The YOLO detection indicates no obstacles, but the CLIP label suggests a cluttered room, which aligns with the visual assessment of the scene. 
Proximity: The closest objects appear to be within 1-2 meters, but they are not directly in the flight path at 1 meter altitude.
Risk: caution
Pilot suggested action: HOVER",
gemini,cluttered,caution,2,0.48,142.24,5339.5,5482.2,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,927,113,0.000103,"Description: The image shows a cluttered scene with various objects on what appears to be a table or counter. A large white object is prominent on the left, and other items like a box, a stapler-like object, and a white container are visible. The CLIP label ""cluttered room obstacles"" is consistent with the visual evidence.
Proximity: The objects are very close, likely within 1 meter of the drone, and appear to be directly in the flight path at ~1m altitude.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,3,0.39,146.52,4935.1,5082.0,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,862,127,0.004491,"Description: The image shows what appears to be an industrial or warehouse interior with a conveyor belt or ramp structure in the foreground at roughly drone altitude (~1m), along with boxes and equipment cluttering the immediate flight path. The scene is somewhat dim and low-resolution, with objects directly ahead that could intersect the 1m flight corridor.

Proximity: The conveyor/ramp structure and associated clutter appear to be within 1-2m directly ahead, potentially blocking the flight path at drone altitude.

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,cluttered,caution,3,0.39,146.52,2589.5,2736.4,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,728,69,0.004675,"Description: The image shows a cluttered room with various objects on a table or shelf. There are no clear obstacles directly in the flight path at the drone's altitude of ~1m.
Proximity: Objects are at table height and do not appear to block the drone's path.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,3,0.39,146.52,3071.7,3218.6,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,3495,98,0.000583,"Description: The image shows a cluttered indoor environment with various objects, including a stapler and a box, visible on a table. The YOLO detection indicates no obstacles, but the CLIP label suggests a cluttered room, which aligns with the visual assessment of the scene. 
Proximity: The nearest objects appear to be within 1-2 meters, but they are not blocking the flight path at ~1m altitude.
Risk: caution
Pilot suggested action: HOVER",
gemini,cluttered,caution,3,0.39,146.52,3997.6,4144.5,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,927,110,0.000103,"Description: The image shows a cluttered scene with various objects on what appears to be a table or counter. A large white object is prominent on the left, and other items like a box, a stapler, and a white container are visible. The CLIP label ""cluttered room obstacles"" is consistent with the visual evidence. The flight path at ~1m altitude appears to be blocked by the white object and other items.
Proximity: Very close, within 1m.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,cluttered,caution,4,0.44,163.56,5265.2,5429.2,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,862,141,0.004701,"Description: The image shows a cluttered indoor environment with what appears to be a dark conveyor belt or ramp structure angled across the lower-left of the frame, along with boxes and equipment at varying heights; the scene is partially dim and visually busy with obstacles in the foreground at or near drone altitude (~1m).

Proximity: The dark angled structure (conveyor/ramp) appears to be within 1-2m and is positioned at a height that could intersect with the drone's ~1m flight corridor, posing a potential obstruction directly ahead.

Risk: hazard

Pilot suggested action: PITCH_BACK",
gpt4o,cluttered,caution,4,0.44,163.56,2701.6,2865.6,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,728,66,0.00463,"Description: The image shows a cluttered room with various objects on a table or shelf. There are no clear obstacles directly in the flight path at the drone's altitude of ~1m.
Proximity: Objects are at table height and not in the direct flight path.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,4,0.44,163.56,3031.1,3195.1,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,3495,98,0.000583,"Description: The image shows a cluttered indoor environment with various objects, including a stapler and a box, on a table. The YOLO detection indicates no obstacles, but the CLIP label suggests a cluttered room, which aligns with the visual assessment of the scene. 
Proximity: The closest objects appear to be within 1-2 meters, but they are not directly in the flight path at 1 meter altitude.
Risk: caution
Pilot suggested action: HOVER",
gemini,cluttered,caution,4,0.44,163.56,5567.8,5731.8,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,927,113,0.000103,"Description: The image shows a cluttered scene with various objects on what appears to be a table or counter. A large white object is prominent on the left, and other items like a box, a stapler-like object, and a white container are visible. The CLIP label ""cluttered room obstacles"" is consistent with the visual evidence.
Proximity: The objects are very close, likely within 1 meter of the drone, and appear to be directly in the flight path at ~1m altitude.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,5,0.54,146.11,4944.0,5090.6,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,862,128,0.004506,"Description: The scene shows an indoor industrial or warehouse-like space with a conveyor belt or ramp structure on the left, a large white container/tub on the right, and cluttered equipment at roughly drone flight altitude (~1m). The flight path ahead appears partially obstructed by the white container and machinery components.

Proximity: The white container and conveyor/ramp structure appear to be within approximately 1–1.5m of the drone, with objects directly in or very close to the 1m flight corridor.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,cluttered,caution,5,0.54,146.11,2352.2,2498.8,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,728,69,0.004675,"Description: The image shows a cluttered room with various objects on a table or shelf. There are no clear obstacles directly in the flight path at the drone's altitude of ~1m.
Proximity: Objects are at table height and do not appear to block the drone's path.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,5,0.54,146.11,3071.7,3218.3,0,yolo-world,cluttered room obstacles,caution,0.2044,caution,1,5,3495,96,0.000582,"Description: The image shows a cluttered indoor environment with various objects, including a stapler and a box, on a table. The CLIP label indicates a cluttered room, which aligns with the visual assessment, but there are no YOLO detections present. 
Proximity: The closest objects appear to be within 1-2 meters, but they are not directly in the flight path at 1 meter altitude.
Risk: caution
Pilot suggested action: HOVER",
gemini,cluttered,caution,5,0.54,146.11,2665.5,2812.2,0,yolo-world,cluttered room obstacles,caution,0.2044,hazard,0,4,927,110,0.000103,"Description: The image shows a cluttered scene with various objects on what appears to be a table or counter. A large white object is prominent on the left, and other items like a box, a stapler, and a white container are visible. The CLIP label ""cluttered room obstacles"" is consistent with the visual evidence. The flight path at ~1m altitude appears to be blocked by the white object and other items.
Proximity: Very close, within 1m.
Risk: hazard
Pilot suggested action: PITCH_BACK",
claude,door_open,safe,1,0.45,167.21,5975.8,6143.5,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,897,154,0.005001,"Description: The image shows a large industrial or commercial interior space with glass partitions/windows and metal framing in the foreground, with an open room visible beyond — ceiling fans and shelving units are visible in the background. The YOLO-detected window at ~2.46m is consistent with the glass partition visible in the near foreground, though it appears to be a navigable glass-framed structure with open space beyond.

Proximity: The glass partition/window framing is visually close (~2-3m), but the space beyond appears open and clear at ~1m drone altitude. No solid obstacles are blocking the immediate flight corridor.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gpt4o,door_open,safe,1,0.45,167.21,3071.2,3238.9,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,764,57,0.004675,"Description: The image shows an open room with a glass partition or window on the right side. The path ahead appears clear at the drone's altitude.
Proximity: The glass partition is approximately 2-3 meters away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,1,0.45,167.21,3304.7,3472.4,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,3531,80,0.000578,"Description: The image shows an open room with glass partitions and a clear path ahead. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the space appears unobstructed. 
Proximity: The nearest objects and walls are more than 2m away, and the flight path is clear at ~1m altitude.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,1,0.45,167.21,2117.1,2284.8,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,972,107,0.000105,"Description: I see an open doorway or partition on the right, leading into a larger room with what appears to be tables or equipment. The YOLO detection of ""window"" with an estimated distance of ~2.46m seems to refer to this open area, which is navigable. The CLIP label ""open room safe path"" aligns with the visual assessment.
Proximity: The open doorway/partition is immediately to the right, but the path ahead appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,2,0.45,150.42,6352.1,6503.0,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,897,154,0.005001,"Description: The image shows a large open industrial or commercial interior space with glass partitions/windows and metal framing visible in the foreground, with an expansive open area extending well beyond. The YOLO-detected window at ~2.46m is a glass partition/structural element on the far left edge — visually it appears to be a structural wall feature, not blocking the central flight corridor at ~1m altitude.

Proximity: The glass partitions are at the periphery and appear to be wall-mounted structures, not centrally obstructing the flight path. The open space ahead appears clear at drone flight altitude, extending several meters forward.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gpt4o,door_open,safe,2,0.45,150.42,3233.0,3383.9,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,764,85,0.005095,"Description: The image shows an open room with a clear path at approximately 1m altitude. There is a glass partition or window on the right side, which is navigable. The room appears well-lit and uncluttered at the drone's flight level.
Proximity: The path ahead is visually clear and open, with no immediate obstacles within 2m.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,2,0.45,150.42,3071.7,3222.6,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,3531,80,0.000578,"Description: The image shows an open room with glass partitions and a clear path ahead. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the space appears unobstructed. 
Proximity: The nearest objects and walls are more than 2m away, and the flight path is clear at ~1m altitude.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,2,0.45,150.42,354.1,505.0,1,yolo-world,open room safe path,safe,0.2052,,0,0,0,0,0.0,,502 Bad Gateway. {'message': '<!DOCTYPE html>\n<html lang=en>\n  <meta charset=u
claude,door_open,safe,3,0.43,144.19,6307.8,6452.4,1,yolo-world,open room safe path,safe,0.2052,caution,0,4,897,149,0.004926,"Description: The image shows a large open industrial or commercial interior space with metal frame glass partitions/windows in the foreground and an open room extending beyond — the YOLO-detected ""window"" at the left edge appears to be part of a glass partition structure, and the CLIP label of ""open room safe path"" aligns with the visual. The space ahead at ~1m altitude appears largely open with structural frames but navigable corridor visible.

Proximity: The glass partition frames are close (1-2m) but are to the sides/edges; the central path ahead appears open at drone flight altitude with no immediate blocking obstacle.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,door_open,safe,3,0.43,144.19,2923.3,3067.9,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,764,74,0.00493,"Description: The image shows an open room with a clear path at ~1m altitude. There is a glass partition or window on the right side, which is navigable. The room appears well-lit and uncluttered.
Proximity: The path ahead is clear, with no obstacles within ~2m.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,3,0.43,144.19,3083.5,3228.1,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,3531,93,0.000585,"Description: The image shows an open room with glass partitions and a clear path ahead. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the window is part of the navigable space. There are no visible obstacles in the flight path at ~1m altitude.  
Proximity: The nearest objects appear to be more than 2m away, and the path is clear.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,3,0.43,144.19,2758.9,2903.5,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,972,107,0.000105,"Description: I see an open doorway or partition on the right, leading into a larger room with what appears to be tables or equipment. The YOLO detection of ""window"" with an estimated distance of ~2.46m seems to refer to this open area, which is navigable. The CLIP label ""open room safe path"" aligns with the visual assessment.
Proximity: The open doorway/partition is immediately to the right, but the path ahead appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,4,0.54,154.57,6415.9,6571.0,1,yolo-world,open room safe path,safe,0.2052,caution,0,4,897,166,0.005181,"Description: The image shows a large open industrial or office space with glass partitions/windows and metal framing in the foreground, with an open room visible beyond. The YOLO-detected window at ~2.46m is a glass partition structure directly ahead, but it appears to have navigable openings or is a framed glass wall — the space beyond looks open and accessible. The CLIP label ""open room safe path"" aligns with the overall scene.

Proximity: The glass partition/frame structure appears to be approximately 2-3m ahead visually, consistent with the YOLO estimate. However, the structure appears to be a framed glass partition with openings rather than a solid blocking obstacle.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,door_open,safe,4,0.54,154.57,3493.8,3648.9,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,764,74,0.00493,"Description: The image shows an open room with a clear path at ~1m altitude. There is a glass partition or window on the right side, which is navigable. The room appears well-lit and uncluttered.
Proximity: The path ahead is clear, with no obstacles within ~2m.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,4,0.54,154.57,3347.0,3502.1,1,yolo-world,open room safe path,safe,0.2052,hazard,0,4,3531,102,0.000591,"Description: The image shows an open room with a glass partition and no visible obstacles directly in the flight path at ~1m altitude. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the window is part of the navigable space. The CLIP label suggests a safe path, aligning with the visual assessment.  
Proximity: The nearest objects appear to be more than 2m away, with no immediate hazards.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,4,0.54,154.57,4099.5,4254.6,1,yolo-world,open room safe path,safe,0.2052,safe,1,5,972,107,0.000105,"Description: I see an open doorway or partition on the right, leading into a larger room with what appears to be tables or equipment. The YOLO detection of ""window"" with an estimated distance of ~2.46m seems to refer to this open area, which is navigable. The CLIP label ""open room safe path"" aligns with the visual assessment.
Proximity: The open doorway/partition is immediately to the right, but the path ahead appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
