model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
gpt4o,object_table,caution,4,0.56,37.92,safe,279.07,2544.7,2862.2,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,83,0.005105,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears to be clear at the ~1m flight path level.
Sensor note: Consistent with sensor data; the shelf detection aligns with the visual scene.
Proximity: Closest object is the laptop, approximately 1m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,object_table,caution,4,0.56,37.92,safe,279.07,4640.3,4957.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,122,0.000604,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are items on the table that could pose a risk if the drone were to fly at this height. 

Sensor note: The YOLO detection indicates a shelf at a distance of 2.53m, which is consistent with the visual analysis, but there may be additional clutter not detected.

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away.

Risk: caution

Pilot suggested action: HOVER",
gemini,object_table,caution,4,0.56,37.92,safe,279.07,2122.3,2439.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,5,0.57,30.95,safe,281.68,6444.4,6757.6,0,yolo-world,disabled,disabled,0.0,caution,1,5,956,202,0.005898,"Description: The image shows an indoor environment with a laptop open on a table displaying code/development software, with bookshelves or storage units visible in the background. The scene is dimly lit and somewhat cluttered, but no persons are visible in the immediate flight path.

Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); visually consistent — shelving/storage structures are visible in the background. The laptop on the table is an undetected obstacle not flagged by any sensor. Brightness reading of 126/255 is consistent with the moderately dim scene observed.

Proximity: The laptop/table surface appears to be the closest obstacle, estimated at roughly 1–1.5m forward. Background shelving appears consistent with the ~2.5m depth reading from DepthAnything v2.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,object_table,caution,5,0.57,30.95,safe,281.68,3273.7,3586.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,78,0.00503,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The scene appears well-lit and organized.
Sensor note: Consistent with YOLO detection of a shelf at 2.53m depth.
Proximity: Closest object is the laptop, approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,object_table,caution,5,0.57,30.95,safe,281.68,4095.8,4409.0,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,116,0.0006,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are several items in the vicinity that could pose a risk to flight. 

Sensor note: Consistent; the YOLO detection indicates a shelf at a distance of 2.53m, which aligns with the visual assessment of the environment.

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away from the camera.

Risk: Caution

Pilot suggested action: HOVER",
gemini,object_table,caution,5,0.57,30.95,safe,281.68,2154.5,2467.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,1,0.57,28.85,safe,281.41,6856.8,7167.6,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,207,0.005973,"Description: The image shows a dimly lit indoor room with heavy green/teal noise artifacts, revealing what appears to be a couch or sofa on the left, a cushion/pillow on the right foreground, and shelving or furniture in the background — the scene is cluttered and visibility is significantly degraded by noise and color distortion.
Sensor note: YOLO detects a wall at 0.42m depth covering nearly the full frame bbox, which is consistent with close obstacles being present; the cushion/furniture on the right appears within ~0.5–1m, aligning with the 0.42m depth reading.
Proximity: Closest object (cushion/furniture right foreground) visually estimated at ~0.4–0.6m, consistent with DA v2 depth of 0.42m — this is within the hazard threshold.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,dim_light,caution,1,0.57,28.85,safe,281.41,3888.8,4199.6,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,108,0.00548,"Description: The image is very grainy and dark, making it difficult to discern specific objects or details clearly. There appears to be clutter at floor level, but no obvious obstacles blocking the immediate flight path.
Sensor note: The sensor detection of a wall at 0.42m depth is consistent with the visible clutter, though the image is too unclear to confirm specific objects.
Proximity: Closest object visually estimated at approximately 0.4m, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,1,0.57,28.85,safe,281.41,4812.3,5123.1,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,107,0.000595,"Description: The image appears dimly lit with some indistinct shapes in the background, suggesting potential obstacles or clutter. The overall visibility is low, making it difficult to assess the environment clearly. 

Sensor note: Consistent; YOLO detected a wall at 0.42m, but the scene's darkness may obscure other objects. 

Proximity: The closest object appears to be around 0.5m away, based on the YOLO detection and visual assessment. 

Risk: caution  
Pilot suggested action: HOVER",
gemini,dim_light,caution,1,0.57,28.85,safe,281.41,2562.5,2873.3,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,168,0.000126,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct green and yellow shapes, possibly indicating foliage or a room with poor lighting.
Sensor note: The local detector reports brightness=124/255, which is inconsistent with the visually very dark and noisy image. YOLO-World detected a ""wall"" at 0.42m, but the image quality makes it impossible to confirm this visually or assess its true proximity.
Proximity: Due to the severe noise and darkness, it's impossible to visually estimate the proximity of any objects with confidence. The YOLO-W ""wall"" detection at 0.42m, if accurate, would be a hazard.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,2,0.54,30.21,safe,280.48,6147.0,6458.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,182,0.005598,"Description: The image shows a heavily noise-affected, greenish-tinted indoor scene revealing what appears to be a couch/sofa and cushion on the right side, with walls and furniture cluttered in the background at close range; the overall scene is dim and visually degraded with significant sensor noise.
Sensor note: YOLO-World detected a wall at 0.42m depth — this is consistent with my visual analysis showing objects (furniture/wall surfaces) very close to the drone's forward path within roughly 0.5m.
Proximity: Closest object (wall or furniture surface) estimated at approximately 0.4–0.6m forward, consistent with the DA v2 depth reading of 0.42m — well within hazard threshold.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,dim_light,caution,2,0.54,30.21,safe,280.48,2658.1,2969.3,0,yolo-world,disabled,disabled,0.0,hazard,0,4,772,102,0.00539,"Description: The image appears to be dim and grainy, with limited visibility. There is a large object on the right side, possibly close to the camera, and general clutter in the environment.
Sensor note: The image suggests a cluttered environment, consistent with the YOLO detection of a wall at 0.42m depth.
Proximity: The closest object visually appears to be less than 1 meter away, consistent with the depth_m reading.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,2,0.54,30.21,safe,280.48,3712.0,4023.2,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,101,0.000591,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout of the space.

Sensor note: The YOLO detection indicates a wall at a distance of 0.42m, which is consistent with the visual analysis of potential obstacles.

Proximity: The closest object appears to be the wall at approximately 0.42m.

Risk: caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,2,0.54,30.21,safe,280.48,2329.2,2640.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,153,0.000121,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct shapes, possibly a wall or large object on the right, but no clear flight path can be confirmed.
Sensor note: The YOLO detection of 'wall' at 0.42m is plausible given the indistinct shape on the right, but the overall scene is much darker and noisier than indicated by the local detector's brightness reading of 124/255.
Proximity: Visually, the closest indistinct object appears to be within 1 meter, consistent with the YOLO detection of a wall at 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,3,0.57,38.76,safe,287.07,8790.8,9117.2,0,yolo-world,disabled,disabled,0.0,hazard,0,3,956,290,0.007218,"Description: The image shows a heavily noise-corrupted, green-tinted indoor scene revealing what appears to be a room with a sofa/couch on the left, a cushion or chair on the right, and what looks like furniture/shelving in the background — the drone is at approximately 1m altitude in a cluttered living space.
Sensor note: YOLO detected a wall at 0.42m depth covering nearly the full frame bbox, which is consistent with close obstacles being present; however the detection likely encompasses the sofa/furniture rather than a bare wall. The scene is moderately bright (124/255), consistent with local detector report.
Proximity: The closest obstacle appears to be the sofa/couch on the left and the cushioned chair/object on the right, both visually estimated within ~0.5–1m, consistent with the 0.42m depth reading from DepthAnything v2.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** Objects (furniture) appear to be directly within or immediately adjacent to the ~1m flight corridor on multiple sides. The 0.42m depth reading corroborates close obstacle proximity. Immediate hover is warranted to prevent collision while the environment is assessed. Do not pitch in any direction until a clear path is confirmed.",
gpt4o,dim_light,caution,3,0.57,38.76,safe,287.07,2966.4,3292.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,90,0.00521,"Description: The image is grainy and dimly lit, making it difficult to clearly identify objects. There appears to be clutter at floor level, but no immediate obstacles blocking the flight path.
Sensor note: Consistent with sensor data indicating a wall at 0.42m depth.
Proximity: Closest object visually estimated at approximately 0.4m, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,3,0.57,38.76,safe,287.07,4198.5,4524.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,107,0.000595,"Description: The image appears dimly lit with indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout or presence of objects within the flight path.

Sensor note: Consistent with YOLO detection of a wall at 0.42m, but the overall scene is too unclear to confirm safety.

Proximity: The closest object appears to be within 1 meter, likely the wall detected by the sensors.

Risk: caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,3,0.57,38.76,safe,287.07,2461.7,2788.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,168,0.000126,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct green and yellow shapes, possibly indicating foliage or a room with poor lighting.
Sensor note: The local detector reports brightness=124/255, which is inconsistent with the visually very dark and noisy image. YOLO-World detected a ""wall"" at 0.42m, but the image quality makes it impossible to confirm this visually or assess its true proximity.
Proximity: Due to the severe noise and darkness, it's impossible to visually estimate the proximity of any objects with confidence. The YOLO-W ""wall"" detection at 0.42m, if accurate, would be a hazard.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,4,0.52,34.87,safe,279.27,8184.1,8498.8,0,yolo-world,disabled,disabled,0.0,hazard,0,3,956,229,0.006303,"Description: The image shows an indoor room scene captured with significant noise/grain and a green-tinted color cast (likely night vision or low-light camera mode), revealing what appears to be a couch/sofa on the left, a bright window or light source at the back, and a large light-colored object (possibly a pillow or chair back) on the right foreground at approximately 1m distance.
Sensor note: YOLO detects only a 'wall' at 0.42m depth covering nearly the full frame — this likely reflects the dense clutter/furniture filling the scene rather than a literal wall; the large bright object on the right foreground is not separately labeled but is visually prominent and close.
Proximity: Closest object appears to be the large light-colored object on the right at roughly 0.5–1m, consistent with the DA v2 depth reading of 0.42m; furniture fills much of the forward flight path within 2m.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,dim_light,caution,4,0.52,34.87,safe,279.27,3068.8,3383.5,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,75,0.004985,"Description: The image appears to be dim and grainy, with indistinct objects and potential clutter at floor level.
Sensor note: The image suggests a dim scene, consistent with the local detector's brightness reading.
Proximity: Closest object visually estimated at approximately 0.4 meters, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,4,0.52,34.87,safe,279.27,3788.2,4102.9,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,109,0.000596,"Description: The image appears dimly lit with indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout or presence of objects within the flight path.

Sensor note: Consistent; YOLO detected a wall at a distance of 0.42m, but the overall scene is too unclear to confirm safety.

Proximity: The closest object appears to be within 0.5m based on the YOLO detection.

Risk: caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,4,0.52,34.87,safe,279.27,2256.2,2570.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,153,0.000121,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct shapes, possibly a wall or large object on the right, but no clear flight path can be confirmed.
Sensor note: The YOLO detection of 'wall' at 0.42m is plausible given the indistinct shape on the right, but the overall scene is much darker and noisier than indicated by the local detector's brightness reading of 124/255.
Proximity: Visually, the closest indistinct object appears to be within 1 meter, consistent with the YOLO detection of a wall at 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
claude,dim_light,caution,5,0.54,42.84,safe,286.26,6326.7,6656.3,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,188,0.005688,"Description: The image shows a heavily noise-corrupted, green-tinted indoor scene revealing what appears to be a couch/sofa on the left and a large pillow or cushion on the right at approximately drone height, with furniture and clutter visible throughout the room.
Sensor note: YOLO detects a wall at 0.42m depth covering nearly the full frame — this is plausible given the cushion/furniture mass visible on the right side occupying significant foreground space; depth reading is consistent with close obstacles.
Proximity: Closest object appears to be the large cushion/pillow on the right at roughly 0.4–0.6m, consistent with the 0.42m depth reading from DepthAnything v2 — within hazard threshold.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,dim_light,caution,5,0.54,42.84,safe,286.26,2966.5,3296.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,772,100,0.00536,"Description: The image appears to be dim and grainy, with limited visibility. There is a large object on the right side, potentially obstructing the view, and the scene seems cluttered.
Sensor note: The sensor detection of a wall at 0.42m depth is consistent with the visible clutter and potential obstruction.
Proximity: The closest object visually appears to be less than 1 meter away, consistent with the sensor depth reading.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,dim_light,caution,5,0.54,42.84,safe,286.26,4395.2,4724.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,113,0.000599,"Description: The image appears dimly lit with indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout or presence of objects within the flight path. 

Sensor note: The YOLO detection indicates a wall at a distance of 0.42m, which is consistent with the visual analysis of potential obstacles.

Proximity: The closest object appears to be the wall detected by the sensors, estimated at approximately 0.42m away.

Risk: caution

Pilot suggested action: HOVER",
gemini,dim_light,caution,5,0.54,42.84,safe,286.26,3084.0,3413.6,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,153,0.000121,"Description: The image is extremely noisy and dark, making it very difficult to discern any clear objects or features. There appears to be some indistinct shapes, possibly a wall or large object on the right, but no clear flight path can be confirmed.
Sensor note: The YOLO detection of 'wall' at 0.42m is plausible given the indistinct shape on the right, but the overall scene is much darker and noisier than indicated by the local detector's brightness reading of 124/255.
Proximity: Visually, the closest indistinct object appears to be within 1 meter, consistent with the YOLO detection of a wall at 0.42m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,1,0.55,28.53,safe,280.47,6884.4,7193.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,223,0.006213,"Description: The image shows an indoor industrial or warehouse-like environment at low altitude (~1m), with large white panels/walls close on the right side, a conveyor belt or ramp structure visible on the left, and overhead ceiling infrastructure. The flight path appears partially obstructed by the nearby white panel/wall on the right and the dark ramp structure on the left.

Sensor note: YOLO reports a wall at 4.03m depth, but visually the white panel on the right appears significantly closer than 4m — likely within 1-2m. The depth estimate seems inconsistent with the visual proximity of the right-side surface.

Proximity: The closest object appears to be the white wall/panel to the right, visually estimated at approximately 0.5–1.5m. The dark conveyor/ramp structure on the left is also within ~1–2m. Both are closer than the 4.03m sensor reading suggests.

Risk: hazard

Pilot suggested action: HOVER",
gpt4o,cluttered,caution,1,0.55,28.53,safe,280.47,2121.0,2430.6,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,79,0.005045,"Description: The image shows a cluttered indoor environment with various objects on a table or shelf, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,1,0.55,28.53,safe,280.47,3685.5,3995.1,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,101,0.000591,"Description: The image shows a workspace with a stapler and some boxes, but the area appears cluttered. There are no visible people or obstacles directly in the flight path. 
Sensor note: Consistent; YOLO detected a wall at a distance of 4.03m, which aligns with the visual assessment. 
Proximity: The closest object appears to be the stapler, which is approximately 0.5m away. 
Risk: Caution 
Pilot suggested action: HOVER",
gemini,cluttered,caution,1,0.55,28.53,safe,280.47,2121.9,2431.5,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,145,0.000119,"Description: The image shows a cluttered foreground with various objects on a surface, including a white rectangular object, a brown box, and a dark object. A large white panel is visible in the background on the left.
Sensor note: YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, likely within 1-2m, and other foreground objects. The local detector's brightness reading is consistent with the somewhat dim lighting.
Proximity: The closest objects (white rectangular object, brown box, dark object) appear to be within 0.5m to 1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,2,0.45,28.79,safe,285.01,6803.9,7118.1,0,yolo-world,disabled,disabled,0.0,caution,1,5,956,208,0.005988,"Description: The image shows an indoor industrial or warehouse-like space at low altitude, with visible structural elements including walls, ceiling fixtures, and what appears to be equipment or boxes on a surface at roughly drone level — a dark angled object (possibly a conveyor or ramp) is prominent in the foreground-left, and white surfaces/equipment occupy the right side.
Sensor note: YOLO detected a wall at 4.03m depth, which is broadly consistent with the background walls visible in the image. However, the dark angled object and white surface/equipment in the foreground were not detected by YOLO — these appear closer than 4m and represent undetected obstacles.
Proximity: The dark angled object in the lower-left and the white surface on the right appear to be within approximately 1–2m of the drone, potentially within the flight corridor at ~1m altitude.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,cluttered,caution,2,0.45,28.79,safe,285.01,2435.6,2749.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,79,0.005045,"Description: The image shows a cluttered indoor environment with objects on a table, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at ~1m, consistent with sensor data.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,2,0.45,28.79,safe,285.01,3814.4,4128.6,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,98,0.00059,"Description: The image shows a workspace with a stapler and some boxes, but the area appears cluttered. There are no visible people or obstacles directly in the flight path. 
Sensor note: Consistent with YOLO detection of a wall at 4.03m, but no other objects detected. 
Proximity: The closest object appears to be the stapler, estimated to be more than 1m away. 
Risk: safe 
Pilot suggested action: PITCH_FORWARD",
gemini,cluttered,caution,2,0.45,28.79,safe,285.01,2539.7,2853.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,124,0.000113,"Description: The image shows a cluttered foreground with various objects on a surface, including a white container, a stapler-like object, and a cardboard box. A large white panel is visible in the background.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, and the foreground clutter is completely missed.
Proximity: The closest objects (white container, stapler, box) are visually estimated to be within 0.5m-1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,3,0.48,32.58,safe,280.39,5993.4,6306.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,179,0.005553,"Description: The image shows an indoor industrial or warehouse environment at low altitude, with large white equipment/machinery panels visible at close range directly ahead, along with what appears to be conveyor belt equipment or machinery to the left at roughly the same level as the drone.
Sensor note: YOLO detected a wall at 4.03m depth, but the white machinery/panel directly ahead appears significantly closer than 4m — likely within 1-2m, suggesting the depth estimate may be unreliable or referencing the far wall rather than the nearest obstacle.
Proximity: Closest object (white panel/machinery face) visually estimated at approximately 1–1.5m directly ahead; conveyor-like structure to the left also appears within 1–2m.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,cluttered,caution,3,0.48,32.58,safe,280.39,2395.1,2708.5,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,78,0.00503,"Description: The image shows a cluttered indoor environment with objects on a table or shelf, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at over 3m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,cluttered,caution,3,0.48,32.58,safe,280.39,3176.0,3489.4,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,76,0.000576,"Description: The image shows a workspace with a white wall in the background, a box, and a stapler on a table. There are no visible obstacles or persons within close proximity. 

Sensor note: consistent 
Proximity: Closest object (the stapler) is approximately 0.5m away. 
Risk: safe 
Pilot suggested action: PROCEED",
gemini,cluttered,caution,3,0.48,32.58,safe,280.39,1947.8,2261.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,124,0.000113,"Description: The image shows a cluttered foreground with various objects on a surface, including a white container, a stapler-like object, and a cardboard box. A large white panel is visible in the background.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, and the foreground clutter is completely missed.
Proximity: The closest objects (white container, stapler, box) are visually estimated to be within 0.5m-1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,4,0.57,30.1,safe,282.66,6347.1,6660.4,0,yolo-world,disabled,disabled,0.0,caution,1,5,956,197,0.005823,"Description: The image shows an indoor industrial or warehouse environment with white walls/panels, some cardboard boxes, and what appears to be equipment or machinery at roughly table height; the scene is somewhat cluttered at lower levels but the upper corridor appears partially open.
Sensor note: YOLO detected a wall at 4.03m which is plausible given the visible wall structures; however, the closer foreground clutter (boxes, dark object/conveyor-like structure at ~1-2m) was not detected by YOLO — these objects exist and represent a closer obstacle than the reported 4.03m wall.
Proximity: Closest objects appear to be the dark angled structure and boxes in the foreground, visually estimated at approximately 1–2m from the drone, which is closer than the YOLO-reported wall depth.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,cluttered,caution,4,0.57,30.1,safe,282.66,2459.2,2772.5,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,78,0.00503,"Description: The image shows a cluttered indoor environment with objects on a table or shelf, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,4,0.57,30.1,safe,282.66,3477.0,3790.3,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,75,0.000576,"Description: The image shows a workspace with a white wall in the background, a box, and a stapler on a table. There are no visible obstacles or persons within close proximity. 

Sensor note: consistent
Proximity: Closest object (the stapler) is approximately 0.5m away.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gemini,cluttered,caution,4,0.57,30.1,safe,282.66,2256.3,2569.6,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,124,0.000113,"Description: The image shows a cluttered foreground with various objects on a surface, including a white container, a stapler-like object, and a cardboard box. A large white panel is visible in the background.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, and the foreground clutter is completely missed.
Proximity: The closest objects (white container, stapler, box) are visually estimated to be within 0.5m-1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,cluttered,caution,5,0.5,30.49,safe,281.42,7435.4,7747.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,215,0.006093,"Description: The image shows an indoor industrial or warehouse-like environment at low altitude, with white surfaces, a conveyor or shelf structure, cardboard boxes, and overhead lighting — no persons visible. The flight path at ~1m appears partially obstructed by nearby structural elements and objects at close range.

Sensor note: YOLO detected a wall at 4.03m depth, which appears consistent with the far wall visible in the image; however, closer foreground objects (conveyor belt/shelf edge, boxes) within ~1–2m were NOT detected by YOLO — these are visually evident and represent an undetected hazard.

Proximity: Closest objects (shelf edge or conveyor structure, cardboard box) appear to be within approximately 1–1.5m directly in the flight path, consistent with or closer than the sensor data suggests for the wall; foreground clutter is significantly closer than 4m.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,cluttered,caution,5,0.5,30.49,safe,281.42,2456.8,2769.2,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,76,0.005,"Description: The image shows a cluttered indoor environment with objects on a table, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m depth.
Proximity: Closest object visually estimated at approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,cluttered,caution,5,0.5,30.49,safe,281.42,3923.3,4235.7,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,78,0.000578,"Description: The image shows a workspace with a white surface, a stapler, and a box in the background. The area appears well-lit and there are no visible obstacles directly in the flight path. 

Sensor note: consistent 
Proximity: The closest object is the stapler, approximately 0.5m away. 
Risk: safe 
Pilot suggested action: PITCH_FORWARD",
gemini,cluttered,caution,5,0.5,30.49,safe,281.42,2092.5,2404.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1005,124,0.000113,"Description: The image shows a cluttered foreground with various objects on a surface, including a white container, a stapler-like object, and a cardboard box. A large white panel is visible in the background.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of a large white panel much closer, and the foreground clutter is completely missed.
Proximity: The closest objects (white container, stapler, box) are visually estimated to be within 0.5m-1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,door_open,safe,1,0.57,41.2,safe,285.02,9565.2,9892.0,0,yolo-world,disabled,disabled,0.0,caution,0,3,1002,295,0.007431,"Description: The image shows a large indoor industrial or warehouse-like space with metal shelving/racking structures, glass partitions, and fluorescent lighting overhead at approximately 3-5m height; the immediate foreground shows open floor space with structural frames, and no persons are visible in the near field.
Sensor note: YOLO reports a ""train"" detection at 3.6m with low confidence (0.22) — this is likely a misclassification of the shelving/rack structure; the ""window"" detection at 3.2m is plausible given the visible glass partition frames. Neither detection indicates an imminent obstacle, consistent with the visual scene.
Proximity: Closest obstacle appears to be the metal frame/shelving structure visible at roughly 2-3m forward and to the sides; depth readings of 3.2-3.6m are consistent with this visual estimate.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** While the path appears largely open at ~1m altitude, the cluttered shelving infrastructure, structural columns, and glass partitions create a complex environment with potential hidden obstacles. The low-confidence YOLO detections and somewhat grainy/dim image quality (brightness 119/255) warrant a cautious hold before proceeding. Recommend hovering to allow further sensor confirmation before advancing.",
gpt4o,door_open,safe,1,0.57,41.2,safe,285.02,2353.9,2680.7,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,71,0.00514,"Description: The image shows an indoor space with tables and a partially open door, suggesting a clear path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a window and a train at a distance.
Proximity: Closest object visually estimated at approximately 3 meters away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
